0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PROSPETTO ANDAMENTO ANNUALE OFFERTE - PORTAFOGLIO ORDINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MESE (ANNO 2024),NR. RICHIESTE RICEVUTE 2024,NR. RICHIESTE DECLINATE 2024,NR. OFFERTE PROPOSTE 2024,NR. OFFERTE ACCETTATE 2024,VALORE MENSILE ORDINI  TOTALE 2024,% ACCETTATE 2024,% DECLINATE 2024,,ANNO 2023,NR. RICHIESTE RICEVUTE 2023,NR. RICHIESTE DECLINATE 2023,NR. OFFERTE PROPOSTE 2023,NR. OFFERTE ACCETTATE 2023,VALORE MENSILE ORDINI  TOTALE 2023,% ACCETTATE 2023,% DECLINATE 2023,,,,,,,,,,,,,,,
,2025-11-01 00:00:00,19,0,0,17,0.8947368421,2,0.1052631579,0,0,1,,,,,,,,,,,,,,,,,,,,,
,2025-12-01 00:00:00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,TOT.,407,36,0.07604223975,216,0.6471922948,47,0.07389624977,21,0.0186288893,0.8157596736,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MESE (ANNO 2025),NR. RICHIESTE RICEVUTE,NR. RICHIESTE DECLINATE,% DECLINATE,ARTICOLO NON FATTIBILE,% ARTICOLO  NON FATTIBILE,TEMPI DI CONSEGNA,%  TEMPI DI CONSEGNA,SOVRACCARICO PRODUTTIVO,%  SOVRACCARICO  PRODUTTIVO,QUANTITÀ ALTE,%  QUANTITÀ ALTE,QUANTITÀ BASSE,%  QUANTITÀ BASSE,CLIENTE NON STRATEGICO,%  CLIENTE NON STRATEGICO,COMPONENTE NON STRATEGICO,%  COMPONENTE NON STRATEGICO,TOTALE (NON IN  TUTTE LE  OFFERTE DECLINATE  C'E' IL MOTIVO),Dati non completi,,,,,,,,,,,,
,2025-01-01 00:00:00,90,3,0.03333333333,0,0,1,0.3333333333,0,0,1,0.3333333333,0,0,0,0,0,0,0.6666666667,,,,,,,,,,,,,
,2025-02-01 00:00:00,95,8,0.08421052632,4,0.5,1,0.125,0,0,0,0,0,0,0,0,3,0.375,1,,,,,,,,,,,,,
,2025-03-01 00:00:00,104,33,0.3173076923,6,0.1818181818,3,0.09090909091,3,0.09090909091,0,0,2,0.06060606061,0,0,8,0.2424242424,0.6666666667,,,,,,,,,,,,,
,2025-04-01 00:00:00,109,41,0.376146789,3,0.07317073171,5,0.1219512195,20,0.487804878,0,0,2,0.0487804878,0,0,5,0.1219512195,0.8536585366,,,,,,,,,,,,,
,2025-05-01 00:00:00,94,39,0.414893617,2,0.05128205128,3,0.07692307692,24,0.6153846154,0,0,1,0.02564102564,1,0.02564102564,5,0.1282051282,0.9230769231,,,,,,,,,,,,,
,2025-06-01 00:00:00,72,13,0.1805555556,0,0,4,0.3076923077,6,0.4615384615,0,0,2,0.1538461538,0,0,1,0.07692307692,1,,,,,,,,,,,,,
,2025-07-01 00:00:00,237,105,0.4430379747,2,0.01904761905,94,0.8952380952,1,0.009523809524,1,0.009523809524,2,0.01904761905,1,0.009523809524,1,0.009523809524,0.9714285714,,,,,,,,,,,,,
,2025-08-01 00:00:00,100,32,0.32,1,0.03125,3,0.09375,13,0.40625,0,0,0,0,0,0,13,0.40625,0.9375,,,,,,,,,,,,,
,2025-09-01 00:00:00,225,75,0.3333333333,6,0.08,28,0.3733333333,15,0.2,0,0,0,0,12,0.16,9,0.12,0.9333333333,,,,,,,,,,,,,
